Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role482,64,male,Scientist,Extroverted,Formal,Painting,High School,Eastern,English,Expert,Video,Active,Humanism,Married,High income,Health-conscious,Part-time,Creative
Role483,64,nondisclosed,Engineer,Introverted,Informal,Painting,Graduate Degree,Western,Spanish,Intermediate,Mixed,Sedentary,Humanism,Widowed,High income,Health-conscious,Sporadic,Analytical
Role484,67,genderqueer,Engineer,Innovative,Empathetic,Sports,Bachelor,African,French,Expert,Video,Sedentary,Humanism,Single,High income,Average health,Full-time,Collaborative
Role485,71,nondisclosed,Retired,Innovative,Humorous,Traveling,Graduate Degree,Eastern,Mandarin,Novice,Video,Active,Christianity,Single,High income,Healthy,Full-time,Collaborative
Role486,58,nondisclosed,Student,Traditional,Humorous,Reading,High School,Eastern,Spanish,Expert,Video,Sedentary,Atheism,Divorced,Low income,Health-conscious,Full-time,Creative
Role487,21,female,Artist,Innovative,Informal,Reading,High School,Eastern,French,Novice,Mixed,Sedentary,Environmentalism,Divorced,Middle income,Health-conscious,Part-time,Creative
Role488,26,genderqueer,Artist,Traditional,Empathetic,Video Games,Graduate Degree,Eastern,French,Intermediate,Voice,Sedentary,Christianity,Single,Low income,Health-conscious,Sporadic,Analytical
Role489,26,female,Artist,Introverted,Formal,Cooking,Bachelor,African,Mandarin,Intermediate,Voice,Active,Atheism,Married,High income,Health-conscious,Full-time,Collaborative
Role490,55,male,Retired,Innovative,Mixed,Video Games,High School,African,English,Novice,Video,Sedentary,Christianity,Married,Low income,Healthy,Sporadic,Collaborative
Role491,66,female,Scientist,Introverted,Direct,Video Games,High School,Eastern,French,Intermediate,Video,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Part-time,Practical
Role492,52,genderqueer,Doctor,Extroverted,Mixed,Sports,Bachelor,Western,Spanish,Intermediate,Video,Active,Environmentalism,Widowed,High income,Average health,Part-time,Collaborative
Role493,51,nondisclosed,Artist,Innovative,Humorous,Sports,Bachelor,Western,Mandarin,Novice,Video,Active,Atheism,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role494,80,nondisclosed,Scientist,Traditional,Humorous,Sports,Bachelor,Western,Mandarin,Expert,Voice,Sedentary,Islam,Divorced,Middle income,Average health,Full-time,Practical
Role495,74,male,Scientist,Extroverted,Mixed,Reading,Graduate Degree,Western,French,Novice,Video,Sedentary,Environmentalism,In a relationship,Low income,Healthy,Full-time,Practical
Role496,66,female,Engineer,Traditional,Informal,Sports,Graduate Degree,African,Spanish,Intermediate,Text,Sedentary,Christianity,Widowed,Middle income,Healthy,Sporadic,Practical
Role497,43,female,Engineer,Introverted,Humorous,Traveling,Graduate Degree,Middle Eastern,French,Novice,Video,Active,Christianity,Married,Low income,Health-conscious,Full-time,Creative
Role498,72,male,Engineer,Innovative,Mixed,Painting,Bachelor,Eastern,French,Novice,Mixed,Active,Environmentalism,Divorced,Low income,Health-conscious,Full-time,Creative
Role499,29,genderqueer,Student,Traditional,Informal,Video Games,High School,Middle Eastern,English,Intermediate,Voice,Sedentary,Humanism,Married,Low income,Health-conscious,Full-time,Creative
Role500,67,female,Artist,Traditional,Formal,Video Games,Bachelor,African,Mandarin,Expert,Voice,Active,Christianity,Married,Low income,Health-conscious,Full-time,Collaborative
Role501,64,female,Retired,Extroverted,Direct,Video Games,Bachelor,Eastern,English,Expert,Voice,Sedentary,Christianity,Widowed,Middle income,Average health,Full-time,Creative
Role502,60,male,Retired,Extroverted,Formal,Painting,Graduate Degree,Eastern,French,Novice,Text,Sedentary,Islam,Married,Low income,Health-conscious,Sporadic,Analytical
Role503,28,nondisclosed,Doctor,Extroverted,Direct,Video Games,Bachelor,Western,English,Expert,Mixed,Active,Humanism,Married,Low income,Health-conscious,Sporadic,Collaborative
Role504,19,nondisclosed,Doctor,Introverted,Formal,Painting,Bachelor,Middle Eastern,English,Novice,Text,Sedentary,Environmentalism,In a relationship,Low income,Average health,Full-time,Collaborative
Role505,31,female,Retired,Extroverted,Empathetic,Reading,Bachelor,African,Spanish,Expert,Mixed,Sedentary,Islam,Single,Middle income,Health-conscious,Sporadic,Creative
Role506,79,female,Engineer,Introverted,Humorous,Video Games,High School,Eastern,French,Intermediate,Mixed,Active,Christianity,Married,Middle income,Healthy,Full-time,Collaborative
Role507,25,nondisclosed,Engineer,Introverted,Informal,Traveling,High School,African,Spanish,Expert,Video,Active,Atheism,Married,Middle income,Healthy,Full-time,Creative
Role508,51,male,Retired,Extroverted,Empathetic,Video Games,Graduate Degree,African,Spanish,Expert,Voice,Sedentary,Islam,Divorced,Middle income,Healthy,Sporadic,Collaborative
Role509,79,female,Doctor,Extroverted,Direct,Painting,High School,African,French,Intermediate,Voice,Sedentary,Humanism,Single,High income,Healthy,Sporadic,Practical
Role510,53,nondisclosed,Teacher,Extroverted,Humorous,Painting,Bachelor,Eastern,Spanish,Expert,Voice,Active,Humanism,Widowed,Low income,Health-conscious,Full-time,Practical
Role511,41,female,Scientist,Introverted,Mixed,Painting,Graduate Degree,Middle Eastern,French,Intermediate,Text,Active,Humanism,In a relationship,High income,Health-conscious,Part-time,Creative
Role512,35,nondisclosed,Artist,Innovative,Humorous,Reading,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Voice,Sedentary,Environmentalism,Widowed,Low income,Healthy,Part-time,Collaborative
Role513,62,male,Engineer,Innovative,Empathetic,Traveling,Graduate Degree,Eastern,English,Expert,Video,Active,Atheism,Single,Low income,Health-conscious,Part-time,Practical
Role514,75,genderqueer,Teacher,Innovative,Informal,Traveling,Graduate Degree,Middle Eastern,English,Intermediate,Video,Sedentary,Humanism,Married,High income,Healthy,Part-time,Collaborative
Role515,24,nondisclosed,Doctor,Introverted,Informal,Cooking,Graduate Degree,Eastern,English,Novice,Mixed,Active,Environmentalism,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role516,76,nondisclosed,Scientist,Introverted,Humorous,Traveling,Graduate Degree,African,French,Intermediate,Text,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Part-time,Collaborative
Role517,76,female,Scientist,Introverted,Mixed,Painting,Bachelor,Western,English,Novice,Text,Active,Christianity,Divorced,High income,Average health,Sporadic,Collaborative
Role518,43,male,Teacher,Innovative,Informal,Reading,High School,African,English,Intermediate,Mixed,Active,Atheism,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role519,35,male,Artist,Innovative,Formal,Painting,Bachelor,African,French,Expert,Voice,Active,Christianity,In a relationship,Low income,Average health,Full-time,Analytical
Role520,29,male,Student,Extroverted,Direct,Traveling,Bachelor,Middle Eastern,French,Expert,Text,Sedentary,Atheism,Divorced,Low income,Health-conscious,Sporadic,Creative
Role521,70,nondisclosed,Student,Extroverted,Direct,Cooking,Graduate Degree,Eastern,Spanish,Intermediate,Video,Sedentary,Christianity,Widowed,Low income,Health-conscious,Full-time,Creative
Role522,74,male,Student,Innovative,Informal,Reading,Graduate Degree,African,Mandarin,Novice,Voice,Sedentary,Humanism,Married,Middle income,Healthy,Part-time,Collaborative
Role523,18,genderqueer,Teacher,Introverted,Direct,Cooking,High School,Middle Eastern,Mandarin,Intermediate,Text,Sedentary,Atheism,Married,High income,Health-conscious,Full-time,Collaborative
Role524,46,female,Teacher,Extroverted,Informal,Painting,Bachelor,Western,French,Intermediate,Mixed,Active,Islam,Widowed,High income,Healthy,Part-time,Analytical
Role525,64,nondisclosed,Scientist,Extroverted,Empathetic,Painting,Graduate Degree,Western,French,Intermediate,Voice,Sedentary,Christianity,Married,High income,Healthy,Full-time,Collaborative
Role526,24,genderqueer,Artist,Introverted,Mixed,Video Games,Graduate Degree,Middle Eastern,English,Intermediate,Video,Active,Atheism,Widowed,Low income,Healthy,Sporadic,Creative
Role527,61,nondisclosed,Doctor,Innovative,Empathetic,Reading,High School,Eastern,Spanish,Intermediate,Video,Active,Islam,Widowed,High income,Average health,Part-time,Practical
Role528,42,female,Teacher,Traditional,Humorous,Cooking,Graduate Degree,Eastern,Mandarin,Intermediate,Video,Sedentary,Islam,Widowed,Middle income,Healthy,Full-time,Analytical
Role529,67,genderqueer,Artist,Innovative,Direct,Reading,High School,Western,Spanish,Intermediate,Voice,Active,Environmentalism,Married,Middle income,Healthy,Part-time,Practical
Role530,21,female,Teacher,Introverted,Humorous,Painting,Graduate Degree,Middle Eastern,Mandarin,Expert,Voice,Active,Humanism,Married,Low income,Health-conscious,Full-time,Collaborative
Role531,71,male,Retired,Extroverted,Mixed,Cooking,Bachelor,Western,French,Intermediate,Voice,Active,Humanism,Married,Middle income,Healthy,Full-time,Creative
Role532,23,genderqueer,Student,Innovative,Mixed,Cooking,Graduate Degree,Middle Eastern,English,Intermediate,Voice,Active,Christianity,Single,High income,Health-conscious,Sporadic,Collaborative
Role533,78,female,Scientist,Extroverted,Formal,Traveling,Graduate Degree,Eastern,Spanish,Novice,Video,Active,Environmentalism,Widowed,Low income,Healthy,Full-time,Creative
Role534,34,nondisclosed,Artist,Traditional,Formal,Sports,Graduate Degree,Western,Spanish,Intermediate,Voice,Sedentary,Christianity,In a relationship,High income,Healthy,Part-time,Practical
Role535,56,nondisclosed,Doctor,Innovative,Humorous,Video Games,Graduate Degree,Eastern,English,Novice,Text,Sedentary,Environmentalism,In a relationship,Low income,Average health,Full-time,Analytical
Role536,68,female,Artist,Extroverted,Mixed,Cooking,Bachelor,Western,Mandarin,Intermediate,Mixed,Active,Humanism,Single,Middle income,Average health,Part-time,Creative
Role537,34,male,Artist,Extroverted,Empathetic,Reading,Graduate Degree,Western,English,Novice,Mixed,Sedentary,Christianity,Divorced,Middle income,Health-conscious,Part-time,Analytical
Role538,41,female,Scientist,Traditional,Formal,Traveling,Graduate Degree,Middle Eastern,English,Novice,Text,Sedentary,Humanism,Divorced,High income,Healthy,Full-time,Practical
Role539,76,male,Student,Extroverted,Mixed,Sports,Graduate Degree,Middle Eastern,Spanish,Intermediate,Video,Sedentary,Islam,Married,Low income,Healthy,Part-time,Creative
Role540,68,male,Artist,Extroverted,Empathetic,Traveling,Bachelor,Western,Mandarin,Expert,Voice,Sedentary,Christianity,Single,Low income,Healthy,Full-time,Creative
Role541,41,female,Scientist,Innovative,Informal,Cooking,High School,African,Mandarin,Intermediate,Mixed,Sedentary,Atheism,Single,Middle income,Healthy,Part-time,Creative
Role542,72,female,Teacher,Introverted,Mixed,Cooking,High School,Western,Spanish,Intermediate,Text,Active,Christianity,Divorced,High income,Healthy,Sporadic,Analytical
Role543,41,male,Engineer,Introverted,Informal,Painting,Bachelor,Eastern,English,Novice,Video,Active,Islam,In a relationship,High income,Healthy,Part-time,Analytical
Role544,33,genderqueer,Artist,Traditional,Mixed,Video Games,Graduate Degree,African,Mandarin,Intermediate,Mixed,Active,Humanism,Divorced,Middle income,Average health,Part-time,Collaborative
Role545,29,female,Scientist,Innovative,Formal,Video Games,Graduate Degree,African,French,Novice,Text,Sedentary,Atheism,Married,High income,Healthy,Part-time,Practical
Role546,72,female,Retired,Introverted,Direct,Sports,Bachelor,Middle Eastern,Spanish,Intermediate,Text,Sedentary,Islam,Single,Middle income,Average health,Part-time,Analytical
Role547,76,male,Doctor,Extroverted,Formal,Video Games,High School,Middle Eastern,Spanish,Novice,Text,Active,Atheism,Divorced,Middle income,Average health,Sporadic,Analytical
Role548,24,genderqueer,Artist,Extroverted,Informal,Sports,Bachelor,Middle Eastern,Spanish,Expert,Mixed,Sedentary,Environmentalism,Divorced,Low income,Average health,Full-time,Creative
Role549,20,nondisclosed,Teacher,Extroverted,Direct,Sports,High School,Eastern,Spanish,Expert,Voice,Active,Christianity,Single,Middle income,Average health,Sporadic,Creative
Role550,59,nondisclosed,Artist,Introverted,Informal,Painting,High School,Middle Eastern,Mandarin,Novice,Text,Sedentary,Humanism,Widowed,Middle income,Health-conscious,Sporadic,Collaborative
Role551,47,nondisclosed,Retired,Extroverted,Mixed,Traveling,High School,Eastern,English,Novice,Text,Sedentary,Environmentalism,Single,Middle income,Average health,Part-time,Practical
Role552,21,genderqueer,Retired,Innovative,Mixed,Painting,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Text,Sedentary,Islam,Single,High income,Health-conscious,Sporadic,Creative
Role553,78,genderqueer,Doctor,Innovative,Formal,Reading,Graduate Degree,Middle Eastern,Spanish,Expert,Mixed,Sedentary,Islam,Single,High income,Health-conscious,Part-time,Collaborative
Role554,20,genderqueer,Student,Innovative,Direct,Reading,Bachelor,African,Spanish,Novice,Video,Active,Atheism,In a relationship,Middle income,Health-conscious,Sporadic,Creative
Role555,44,female,Artist,Extroverted,Informal,Cooking,Bachelor,Eastern,Spanish,Expert,Text,Sedentary,Islam,Married,High income,Health-conscious,Sporadic,Creative
Role556,52,female,Student,Extroverted,Formal,Traveling,High School,African,English,Novice,Mixed,Sedentary,Environmentalism,Widowed,Middle income,Average health,Sporadic,Creative
Role557,58,genderqueer,Teacher,Traditional,Mixed,Reading,Bachelor,Eastern,French,Novice,Video,Sedentary,Humanism,In a relationship,Middle income,Healthy,Sporadic,Collaborative
Role558,40,nondisclosed,Retired,Traditional,Mixed,Traveling,Bachelor,Eastern,Mandarin,Expert,Text,Active,Christianity,Single,High income,Average health,Full-time,Collaborative
Role559,25,male,Retired,Introverted,Mixed,Reading,Graduate Degree,Middle Eastern,Mandarin,Novice,Text,Sedentary,Christianity,Married,Middle income,Health-conscious,Part-time,Creative
Role560,25,male,Teacher,Traditional,Mixed,Traveling,High School,African,English,Expert,Video,Active,Humanism,Married,Low income,Healthy,Part-time,Collaborative
Role561,38,genderqueer,Engineer,Innovative,Mixed,Video Games,Bachelor,Eastern,English,Expert,Video,Sedentary,Islam,Single,High income,Healthy,Part-time,Collaborative
Role562,50,female,Scientist,Introverted,Empathetic,Cooking,High School,Western,English,Expert,Mixed,Sedentary,Christianity,Divorced,Low income,Health-conscious,Part-time,Collaborative
Role563,62,genderqueer,Artist,Introverted,Formal,Sports,Bachelor,Western,French,Novice,Text,Active,Atheism,In a relationship,Low income,Average health,Full-time,Collaborative
Role564,73,genderqueer,Engineer,Extroverted,Informal,Sports,Graduate Degree,African,Spanish,Intermediate,Video,Active,Atheism,In a relationship,High income,Health-conscious,Part-time,Collaborative
Role565,43,male,Artist,Innovative,Formal,Video Games,Graduate Degree,Eastern,Mandarin,Expert,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Sporadic,Collaborative
Role566,44,genderqueer,Doctor,Extroverted,Direct,Sports,Graduate Degree,Middle Eastern,French,Expert,Mixed,Sedentary,Islam,Widowed,High income,Average health,Part-time,Analytical
Role567,57,genderqueer,Doctor,Traditional,Informal,Reading,Graduate Degree,Middle Eastern,French,Intermediate,Video,Sedentary,Environmentalism,Married,High income,Average health,Sporadic,Analytical
Role568,22,nondisclosed,Engineer,Extroverted,Direct,Reading,Graduate Degree,Eastern,English,Novice,Mixed,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Part-time,Practical
Role569,33,male,Doctor,Innovative,Humorous,Painting,Bachelor,Western,Spanish,Intermediate,Mixed,Active,Atheism,Single,Low income,Average health,Part-time,Collaborative
Role570,74,genderqueer,Engineer,Traditional,Humorous,Painting,Bachelor,Western,English,Novice,Voice,Sedentary,Atheism,Single,Low income,Average health,Sporadic,Analytical
Role571,34,female,Student,Extroverted,Mixed,Reading,Bachelor,Eastern,Mandarin,Novice,Mixed,Sedentary,Environmentalism,In a relationship,Middle income,Health-conscious,Part-time,Collaborative
Role572,70,genderqueer,Student,Traditional,Informal,Sports,Graduate Degree,African,French,Intermediate,Voice,Sedentary,Humanism,Divorced,Middle income,Health-conscious,Part-time,Collaborative
Role573,72,male,Engineer,Extroverted,Informal,Painting,Graduate Degree,Western,English,Intermediate,Video,Sedentary,Atheism,In a relationship,Low income,Health-conscious,Full-time,Collaborative
Role574,37,male,Retired,Introverted,Formal,Cooking,High School,African,Mandarin,Novice,Text,Sedentary,Atheism,In a relationship,High income,Health-conscious,Full-time,Analytical
Role575,76,male,Teacher,Traditional,Direct,Video Games,Graduate Degree,Western,English,Novice,Mixed,Sedentary,Environmentalism,Divorced,High income,Healthy,Part-time,Practical
Role576,52,genderqueer,Doctor,Extroverted,Informal,Video Games,Bachelor,Middle Eastern,French,Expert,Video,Active,Atheism,In a relationship,Low income,Health-conscious,Sporadic,Practical
Role577,63,nondisclosed,Retired,Introverted,Informal,Video Games,Bachelor,Middle Eastern,Spanish,Expert,Video,Active,Environmentalism,In a relationship,Middle income,Average health,Full-time,Collaborative
Role578,21,female,Retired,Traditional,Formal,Sports,High School,Western,French,Expert,Mixed,Active,Atheism,Divorced,Middle income,Healthy,Sporadic,Collaborative
Role579,51,nondisclosed,Doctor,Innovative,Empathetic,Traveling,Graduate Degree,African,Spanish,Novice,Text,Sedentary,Islam,Widowed,High income,Healthy,Full-time,Practical
Role580,39,male,Scientist,Innovative,Empathetic,Reading,Graduate Degree,Middle Eastern,French,Expert,Voice,Sedentary,Environmentalism,Widowed,High income,Healthy,Full-time,Practical
Role581,33,genderqueer,Scientist,Extroverted,Humorous,Reading,High School,African,Mandarin,Intermediate,Mixed,Sedentary,Islam,Divorced,Middle income,Health-conscious,Sporadic,Analytical
Role582,51,female,Scientist,Introverted,Direct,Painting,Bachelor,Western,Spanish,Expert,Text,Sedentary,Islam,Single,High income,Average health,Part-time,Practical
Role583,52,female,Retired,Extroverted,Humorous,Video Games,Graduate Degree,Middle Eastern,French,Expert,Voice,Sedentary,Environmentalism,Single,High income,Health-conscious,Full-time,Practical
Role584,52,male,Doctor,Innovative,Humorous,Painting,High School,Western,Spanish,Novice,Text,Active,Islam,Married,Low income,Health-conscious,Part-time,Creative
Role585,45,male,Retired,Innovative,Mixed,Painting,Bachelor,Middle Eastern,Spanish,Intermediate,Text,Sedentary,Islam,Widowed,Low income,Healthy,Full-time,Practical
Role586,32,male,Engineer,Traditional,Mixed,Video Games,Graduate Degree,Western,Mandarin,Novice,Mixed,Sedentary,Environmentalism,Divorced,High income,Average health,Full-time,Collaborative
Role587,19,male,Artist,Innovative,Empathetic,Cooking,High School,African,Mandarin,Expert,Text,Sedentary,Humanism,Married,Low income,Health-conscious,Part-time,Analytical
Role588,31,female,Artist,Traditional,Empathetic,Painting,High School,Middle Eastern,Mandarin,Expert,Voice,Active,Christianity,Married,Middle income,Healthy,Full-time,Creative
Role589,58,male,Doctor,Extroverted,Direct,Traveling,Graduate Degree,Eastern,English,Expert,Video,Active,Environmentalism,Married,High income,Healthy,Sporadic,Practical
Role590,75,female,Doctor,Introverted,Formal,Traveling,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Mixed,Active,Islam,Widowed,Low income,Healthy,Full-time,Analytical
Role591,54,male,Doctor,Traditional,Empathetic,Traveling,High School,African,English,Novice,Voice,Sedentary,Environmentalism,Single,Low income,Healthy,Full-time,Collaborative
Role592,78,nondisclosed,Doctor,Introverted,Direct,Cooking,Graduate Degree,Western,Mandarin,Expert,Text,Active,Christianity,Divorced,High income,Healthy,Part-time,Practical
Role593,30,genderqueer,Teacher,Introverted,Informal,Reading,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Environmentalism,Married,Middle income,Health-conscious,Full-time,Analytical
Role594,74,male,Teacher,Introverted,Empathetic,Painting,Graduate Degree,Middle Eastern,Spanish,Expert,Mixed,Active,Islam,Single,Middle income,Healthy,Part-time,Collaborative
Role595,74,female,Engineer,Innovative,Humorous,Traveling,High School,Western,French,Novice,Text,Sedentary,Islam,Married,High income,Average health,Sporadic,Creative
Role596,55,genderqueer,Scientist,Introverted,Direct,Painting,High School,Western,French,Expert,Voice,Active,Environmentalism,In a relationship,High income,Health-conscious,Full-time,Creative
Role597,75,genderqueer,Teacher,Introverted,Informal,Traveling,High School,Middle Eastern,Mandarin,Novice,Video,Active,Atheism,In a relationship,Low income,Healthy,Sporadic,Creative
Role598,69,genderqueer,Engineer,Introverted,Empathetic,Reading,Bachelor,Western,French,Expert,Mixed,Active,Atheism,In a relationship,Low income,Health-conscious,Full-time,Creative
Role599,40,male,Student,Innovative,Empathetic,Traveling,High School,Eastern,Mandarin,Intermediate,Video,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Full-time,Analytical
Role600,69,nondisclosed,Student,Introverted,Empathetic,Painting,High School,Western,Mandarin,Expert,Mixed,Active,Christianity,Single,Middle income,Healthy,Part-time,Collaborative
Role601,49,female,Scientist,Introverted,Empathetic,Reading,Bachelor,Western,French,Intermediate,Text,Sedentary,Humanism,Married,Low income,Healthy,Sporadic,Creative
Role602,41,genderqueer,Teacher,Introverted,Humorous,Cooking,Graduate Degree,Eastern,Mandarin,Intermediate,Mixed,Active,Humanism,Divorced,Middle income,Healthy,Sporadic,Analytical
Role603,48,nondisclosed,Teacher,Extroverted,Humorous,Video Games,Bachelor,Western,French,Intermediate,Text,Active,Humanism,Widowed,Middle income,Health-conscious,Sporadic,Analytical
Role604,69,genderqueer,Engineer,Traditional,Empathetic,Sports,Bachelor,Middle Eastern,Mandarin,Expert,Video,Sedentary,Atheism,Single,Middle income,Health-conscious,Part-time,Creative
Role605,20,male,Doctor,Innovative,Humorous,Cooking,Bachelor,Eastern,Mandarin,Novice,Mixed,Sedentary,Atheism,Divorced,Low income,Healthy,Part-time,Collaborative
Role606,28,genderqueer,Doctor,Innovative,Informal,Cooking,High School,Middle Eastern,French,Novice,Mixed,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Sporadic,Creative
Role607,68,female,Artist,Introverted,Empathetic,Traveling,High School,Eastern,Mandarin,Novice,Text,Sedentary,Atheism,In a relationship,Middle income,Average health,Sporadic,Practical
Role608,63,nondisclosed,Teacher,Extroverted,Humorous,Painting,Bachelor,African,Mandarin,Novice,Mixed,Active,Islam,Single,High income,Health-conscious,Sporadic,Creative
Role609,21,male,Doctor,Traditional,Direct,Reading,High School,Western,French,Intermediate,Mixed,Active,Islam,In a relationship,Middle income,Average health,Part-time,Collaborative
Role610,55,nondisclosed,Teacher,Innovative,Formal,Video Games,High School,Middle Eastern,Spanish,Intermediate,Text,Active,Atheism,In a relationship,Middle income,Average health,Full-time,Practical
Role611,27,female,Engineer,Introverted,Formal,Cooking,Bachelor,African,French,Intermediate,Voice,Active,Christianity,Married,High income,Average health,Sporadic,Analytical
Role612,46,female,Engineer,Introverted,Direct,Sports,Graduate Degree,African,Spanish,Novice,Mixed,Sedentary,Islam,Single,High income,Health-conscious,Sporadic,Collaborative
Role613,45,male,Doctor,Innovative,Empathetic,Video Games,High School,Eastern,French,Intermediate,Mixed,Sedentary,Islam,Single,Middle income,Average health,Part-time,Creative
Role614,61,male,Teacher,Extroverted,Direct,Painting,Graduate Degree,African,French,Expert,Text,Sedentary,Islam,Divorced,Low income,Average health,Sporadic,Practical
Role615,63,genderqueer,Teacher,Innovative,Direct,Reading,Graduate Degree,Middle Eastern,Spanish,Expert,Text,Active,Christianity,Married,High income,Health-conscious,Part-time,Analytical
Role616,53,genderqueer,Student,Extroverted,Informal,Sports,Bachelor,Middle Eastern,French,Novice,Video,Active,Environmentalism,Widowed,Middle income,Healthy,Part-time,Creative
Role617,50,male,Student,Traditional,Informal,Cooking,High School,Middle Eastern,French,Intermediate,Text,Active,Islam,Single,High income,Health-conscious,Part-time,Collaborative
Role618,74,male,Student,Innovative,Empathetic,Traveling,Bachelor,Western,Spanish,Intermediate,Voice,Sedentary,Environmentalism,Single,High income,Average health,Part-time,Practical
Role619,49,genderqueer,Engineer,Innovative,Direct,Reading,Bachelor,African,Spanish,Intermediate,Video,Sedentary,Atheism,Single,High income,Average health,Full-time,Collaborative
Role620,69,male,Teacher,Innovative,Humorous,Traveling,High School,Eastern,French,Novice,Video,Sedentary,Atheism,In a relationship,High income,Healthy,Full-time,Practical
Role621,71,female,Artist,Introverted,Direct,Reading,High School,African,Mandarin,Novice,Mixed,Sedentary,Environmentalism,Widowed,High income,Average health,Sporadic,Analytical
Role622,62,male,Engineer,Traditional,Formal,Reading,Bachelor,Western,English,Intermediate,Voice,Sedentary,Islam,Married,Low income,Health-conscious,Full-time,Analytical
Role623,39,female,Retired,Introverted,Mixed,Reading,Graduate Degree,Middle Eastern,English,Intermediate,Mixed,Active,Atheism,Divorced,Middle income,Healthy,Full-time,Collaborative
Role624,73,female,Doctor,Traditional,Humorous,Reading,Graduate Degree,Eastern,Spanish,Intermediate,Voice,Active,Humanism,Widowed,Middle income,Healthy,Part-time,Analytical
Role625,41,nondisclosed,Artist,Traditional,Formal,Sports,High School,Eastern,Spanish,Intermediate,Voice,Sedentary,Atheism,Single,Middle income,Healthy,Full-time,Practical
Role626,35,male,Retired,Introverted,Informal,Cooking,Graduate Degree,Western,Mandarin,Expert,Mixed,Sedentary,Atheism,Divorced,High income,Average health,Part-time,Analytical
Role627,38,nondisclosed,Artist,Extroverted,Mixed,Video Games,High School,Middle Eastern,English,Novice,Video,Sedentary,Humanism,In a relationship,Middle income,Healthy,Sporadic,Practical
Role628,57,nondisclosed,Retired,Traditional,Formal,Cooking,Graduate Degree,Middle Eastern,Mandarin,Expert,Voice,Active,Environmentalism,Married,Middle income,Average health,Sporadic,Analytical
Role629,69,male,Student,Extroverted,Direct,Painting,Bachelor,African,Mandarin,Intermediate,Video,Sedentary,Islam,Single,Low income,Average health,Full-time,Practical
Role630,71,genderqueer,Student,Extroverted,Mixed,Cooking,Bachelor,Eastern,Mandarin,Intermediate,Voice,Sedentary,Christianity,In a relationship,Middle income,Healthy,Sporadic,Collaborative
Role631,24,genderqueer,Artist,Introverted,Mixed,Cooking,High School,Western,Spanish,Intermediate,Text,Sedentary,Christianity,Married,Middle income,Average health,Full-time,Creative
Role632,26,female,Teacher,Traditional,Direct,Cooking,Bachelor,Eastern,Spanish,Intermediate,Mixed,Active,Atheism,In a relationship,High income,Healthy,Part-time,Practical
Role633,18,female,Doctor,Extroverted,Formal,Painting,Bachelor,Western,French,Novice,Mixed,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Sporadic,Collaborative
Role634,56,nondisclosed,Scientist,Innovative,Empathetic,Cooking,High School,Middle Eastern,French,Intermediate,Text,Sedentary,Atheism,In a relationship,High income,Healthy,Part-time,Collaborative
Role635,64,male,Artist,Innovative,Humorous,Traveling,Bachelor,African,Spanish,Expert,Voice,Sedentary,Atheism,In a relationship,Low income,Healthy,Part-time,Creative
Role636,22,male,Engineer,Traditional,Empathetic,Video Games,Bachelor,Western,Mandarin,Expert,Video,Sedentary,Environmentalism,Single,High income,Average health,Sporadic,Practical
Role637,36,genderqueer,Teacher,Introverted,Formal,Reading,High School,Western,English,Expert,Mixed,Active,Environmentalism,Widowed,High income,Average health,Part-time,Practical
Role638,18,female,Scientist,Extroverted,Informal,Traveling,High School,African,French,Novice,Text,Active,Atheism,Divorced,Low income,Average health,Sporadic,Analytical
Role639,45,female,Teacher,Introverted,Empathetic,Painting,Bachelor,Eastern,Spanish,Novice,Mixed,Active,Christianity,Widowed,Low income,Health-conscious,Full-time,Practical
Role640,76,nondisclosed,Scientist,Traditional,Humorous,Video Games,Graduate Degree,Middle Eastern,Mandarin,Expert,Text,Sedentary,Atheism,Widowed,High income,Health-conscious,Part-time,Collaborative
Role641,41,nondisclosed,Retired,Extroverted,Humorous,Sports,Bachelor,Middle Eastern,French,Intermediate,Text,Sedentary,Islam,Single,High income,Healthy,Part-time,Analytical
Role642,21,nondisclosed,Scientist,Introverted,Humorous,Sports,Bachelor,Western,Mandarin,Intermediate,Mixed,Active,Atheism,Single,High income,Health-conscious,Sporadic,Analytical
